,id,c_percent,n_percent,lat,lon,z,site,site_alt,site_alt_id,lower_bin,upper_bin,_x,_y,core,x,y
613,21-3-B,0.15909679390386874,0.17,32.4217842180783,-85.4156586292736,-7.5,20,20_B,B,-10.0,-5.0,-10793.130274739913,-9258.661010540007,3,-10293.130274739913,-9758.661010540007
614,21-3-C,0.17208787079261667,0.175,32.4217842180783,-85.4156586292736,-12.5,20,20_C,C,-15.0,-10.0,-10793.130274739913,-9258.661010540007,3,-10293.130274739913,-9758.661010540007
615,21-3-D,0.158309603667958,0.157,32.4217842180783,-85.4156586292736,-17.5,20,20_D,D,-20.0,-15.0,-10793.130274739913,-9258.661010540007,3,-10293.130274739913,-9758.661010540007
616,21-3-E,0.13870377974527726,0.138,32.4217842180783,-85.4156586292736,-22.5,20,20_E,E,-25.0,-20.0,-10793.130274739913,-9258.661010540007,3,-10293.130274739913,-9758.661010540007
617,21-3-F,0.10007541368122211,0.093,32.4217842180783,-85.4156586292736,-27.5,20,20_F,F,-30.0,-25.0,-10793.130274739913,-9258.661010540007,3,-10293.130274739913,-9758.661010540007
618,21-4-A,0.9146470389383781,0.978,32.4217842180783,-85.4156586292736,-2.5,20,20_A,A,-5.0,0.0,-10793.130274739913,-9258.661010540007,4,-11293.130274739913,-8758.661010540007
619,21-4-B,0.648840201084278,0.654,32.4217842180783,-85.4156586292736,-7.5,20,20_B,B,-10.0,-5.0,-10793.130274739913,-9258.661010540007,4,-11293.130274739913,-8758.661010540007
620,21-4-C,0.48317075757575756,0.435,32.4217842180783,-85.4156586292736,-12.5,20,20_C,C,-15.0,-10.0,-10793.130274739913,-9258.661010540007,4,-11293.130274739913,-8758.661010540007
621,21-4-D,0.5345662479347596,0.435,32.4217842180783,-85.4156586292736,-17.5,20,20_D,D,-20.0,-15.0,-10793.130274739913,-9258.661010540007,4,-11293.130274739913,-8758.661010540007
622,21-4-E,0.2955064583660204,0.298,32.4217842180783,-85.4156586292736,-22.5,20,20_E,E,-25.0,-20.0,-10793.130274739913,-9258.661010540007,4,-11293.130274739913,-8758.661010540007
623,21-4-F,0.31944125252525246,0.283,32.4217842180783,-85.4156586292736,-27.5,20,20_F,F,-30.0,-25.0,-10793.130274739913,-9258.661010540007,4,-11293.130274739913,-8758.661010540007
624,21-5-A,0.9827751720144751,1.063,32.4217842180783,-85.4156586292736,-2.5,20,20_A,A,-5.0,0.0,-10793.130274739913,-9258.661010540007,5,-11293.130274739913,-9758.661010540007
625,21-5-B,0.6909405801298761,0.599,32.4217842180783,-85.4156586292736,-7.5,20,20_B,B,-10.0,-5.0,-10793.130274739913,-9258.661010540007,5,-11293.130274739913,-9758.661010540007
626,21-5-C,0.5153951340206185,0.476,32.4217842180783,-85.4156586292736,-12.5,20,20_C,C,-15.0,-10.0,-10793.130274739913,-9258.661010540007,5,-11293.130274739913,-9758.661010540007
627,21-5-D,0.4246646500095976,0.339,32.4217842180783,-85.4156586292736,-17.5,20,20_D,D,-20.0,-15.0,-10793.130274739913,-9258.661010540007,5,-11293.130274739913,-9758.661010540007
628,21-5-E,0.15130990117858345,0.119,32.4217842180783,-85.4156586292736,-22.5,20,20_E,E,-25.0,-20.0,-10793.130274739913,-9258.661010540007,5,-11293.130274739913,-9758.661010540007
629,21-5-F,0.10639428240783948,0.072,32.4217842180783,-85.4156586292736,-27.5,20,20_F,F,-30.0,-25.0,-10793.130274739913,-9258.661010540007,5,-11293.130274739913,-9758.661010540007
630,22-1-A,0.5558973115105541,0.527,32.4232110459958,-85.4158969346779,-2.5,21,21_A,A,-5.0,0.0,5029.568026295779,-7017.288426230951,1,5029.568026295779,-7017.288426230951
631,22-1-B,0.4150959759021954,0.367,32.4232110459958,-85.4158969346779,-7.5,21,21_B,B,-10.0,-5.0,5029.568026295779,-7017.288426230951,1,5029.568026295779,-7017.288426230951
632,22-1-C,0.20169848404077134,0.198,32.4232110459958,-85.4158969346779,-12.5,21,21_C,C,-15.0,-10.0,5029.568026295779,-7017.288426230951,1,5029.568026295779,-7017.288426230951
633,22-1-D,0.18611058540446415,0.171,32.4232110459958,-85.4158969346779,-17.5,21,21_D,D,-20.0,-15.0,5029.568026295779,-7017.288426230951,1,5029.568026295779,-7017.288426230951
634,22-1-E,0.20293092182258662,0.178,32.4232110459958,-85.4158969346779,-22.5,21,21_E,E,-25.0,-20.0,5029.568026295779,-7017.288426230951,1,5029.568026295779,-7017.288426230951
635,22-1-F,0.1622024144895015,0.124,32.4232110459958,-85.4158969346779,-27.5,21,21_F,F,-30.0,-25.0,5029.568026295779,-7017.288426230951,1,5029.568026295779,-7017.288426230951
636,22-2-A,0.523671014985153,0.451,32.4232110459958,-85.4158969346779,-2.5,21,21_A,A,-5.0,0.0,5029.568026295779,-7017.288426230951,2,5529.568026295779,-6517.288426230951
637,22-2-B,0.3686997076763723,0.287,32.4232110459958,-85.4158969346779,-7.5,21,21_B,B,-10.0,-5.0,5029.568026295779,-7017.288426230951,2,5529.568026295779,-6517.288426230951
638,22-2-C,0.33483987249566904,0.274,32.4232110459958,-85.4158969346779,-12.5,21,21_C,C,-15.0,-10.0,5029.568026295779,-7017.288426230951,2,5529.568026295779,-6517.288426230951
639,22-2-D,0.2255497907372488,0.195,32.4232110459958,-85.4158969346779,-17.5,21,21_D,D,-20.0,-15.0,5029.568026295779,-7017.288426230951,2,5529.568026295779,-6517.288426230951
640,22-2-E,0.2854714333740002,0.213,32.4232110459958,-85.4158969346779,-22.5,21,21_E,E,-25.0,-20.0,5029.568026295779,-7017.288426230951,2,5529.568026295779,-6517.288426230951
641,22-2-F,0.26104921030552314,0.227,32.4232110459958,-85.4158969346779,-27.5,21,21_F,F,-30.0,-25.0,5029.568026295779,-7017.288426230951,2,5529.568026295779,-6517.288426230951
642,22-3-A,0.6827817127659576,0.679,32.4232110459958,-85.4158969346779,-2.5,21,21_A,A,-5.0,0.0,5029.568026295779,-7017.288426230951,3,5529.568026295779,-7517.288426230951
643,22-3-B,0.32240759852216744,0.312,32.4232110459958,-85.4158969346779,-7.5,21,21_B,B,-10.0,-5.0,5029.568026295779,-7017.288426230951,3,5529.568026295779,-7517.288426230951
644,22-3-C,0.43203407380209297,0.362,32.4232110459958,-85.4158969346779,-12.5,21,21_C,C,-15.0,-10.0,5029.568026295779,-7017.288426230951,3,5529.568026295779,-7517.288426230951
645,22-3-D,0.26140906979346146,0.208,32.4232110459958,-85.4158969346779,-17.5,21,21_D,D,-20.0,-15.0,5029.568026295779,-7017.288426230951,3,5529.568026295779,-7517.288426230951
646,22-3-E,0.1785863440280399,0.168,32.4232110459958,-85.4158969346779,-22.5,21,21_E,E,-25.0,-20.0,5029.568026295779,-7017.288426230951,3,5529.568026295779,-7517.288426230951
647,22-3-F,0.15069302787568092,0.14,32.4232110459958,-85.4158969346779,-27.5,21,21_F,F,-30.0,-25.0,5029.568026295779,-7017.288426230951,3,5529.568026295779,-7517.288426230951
648,22-4-A,0.8023581592399908,0.87,32.4232110459958,-85.4158969346779,-2.5,21,21_A,A,-5.0,0.0,5029.568026295779,-7017.288426230951,4,4529.568026295779,-6517.288426230951
649,22-4-B,0.7458785470799376,0.712,32.4232110459958,-85.4158969346779,-7.5,21,21_B,B,-10.0,-5.0,5029.568026295779,-7017.288426230951,4,4529.568026295779,-6517.288426230951
